gp,min,fg,3p_made,3p,ftm,ft,oreb,dreb,ast,stl,blk,tov,target_5yrs,pts_per_min
36,27.4,34.7,0.5,25.0,1.6,69.9,0.7,3.4,1.9,0.4,0.4,1.3,0,0.2700728941339803
35,26.9,29.6,0.7,23.5,2.6,76.5,0.5,2.0,3.7,1.1,0.5,1.6,0,0.2676578930639803
74,15.3,42.2,0.4,24.4,0.9,67.0,0.5,1.7,1.0,0.5,0.3,1.0,0,0.33986905890911184
58,11.6,42.6,0.1,22.6,0.9,68.9,1.0,0.9,0.8,0.6,0.1,1.0,1,0.49137888674233904
48,11.5,52.4,0.0,0.0,1.3,67.4,1.0,1.5,0.3,0.3,0.4,0.8,1,0.39130400756173256
75,11.4,42.3,0.3,32.5,0.4,73.2,0.2,0.7,1.8,0.4,0.0,0.7,0,0.32456111880603616
62,10.9,43.5,0.0,50.0,1.5,81.1,0.5,1.4,0.6,0.2,0.1,0.7,1,0.6055040316476774
48,10.3,41.5,0.4,30.0,0.7,87.5,0.8,0.9,0.2,0.2,0.1,0.7,1,0.5533975209732807
65,9.9,39.2,0.1,23.3,0.4,71.4,0.2,0.6,2.3,0.3,0.0,1.1,0,0.2424239975515176
42,8.5,38.3,0.1,21.4,1.0,67.8,0.4,0.7,0.3,0.2,0.0,0.7,0,0.4352936055369347
35,6.9,36.5,0.0,33.3,0.5,81.8,0.5,0.3,0.7,0.1,0.1,0.3,0,0.333332850242246
40,6.7,39.8,0.1,13.6,1.1,77.6,0.5,0.8,0.4,0.3,0.1,0.6,1,0.5373126308766704
27,6.6,47.2,0.0,0.0,0.1,28.6,0.6,1.4,0.2,0.2,0.6,0.3,1,0.19696939853121437
45,15.3,32.3,1.1,30.1,0.7,86.1,0.5,1.6,0.5,0.5,0.3,0.5,0,0.36601283267135115
44,6.4,53.7,0.0,0.0,0.4,50.0,0.4,1.0,0.2,0.2,0.4,0.6,1,0.3749994140634155
40,6.1,51.4,0.1,14.3,0.7,68.4,0.1,0.3,1.4,0.3,0.0,0.8,1,0.42622880946096814
49,5.3,37.6,0.0,0.0,0.7,64.2,0.5,0.7,0.2,0.3,0.2,0.5,0,0.3962256674987406
41,4.2,34.8,0.1,21.4,0.5,73.1,0.1,0.2,1.0,0.3,0.0,0.4,0,0.40476094104537846
82,37.2,49.0,0.1,22.7,4.1,82.9,3.9,7.0,3.6,1.0,0.6,1.9,0,0.5161288935137383
82,37.2,49.0,0.1,22.7,4.1,82.9,3.9,7.0,3.6,1.0,0.6,1.9,1,0.5161288935137383
80,31.4,52.5,0.0,11.1,2.6,65.4,3.0,5.0,2.4,1.1,0.8,2.2,1,0.45541386770258996
82,30.5,48.9,0.0,16.7,2.6,66.6,2.3,2.8,2.5,1.5,0.3,2.2,1,0.43606543079821947
76,30.3,37.5,0.1,13.3,1.8,73.0,1.1,1.8,2.2,2.0,0.2,2.0,1,0.34983486804129765
61,29.6,45.4,0.7,32.0,1.6,74.8,1.3,1.8,4.6,1.0,0.3,2.5,0,0.4054052684441661
32,15.2,53.3,0.0,0.0,0.8,62.5,1.7,3.5,0.4,0.5,0.5,1.0,0,0.4144734115306503
76,29.3,51.4,0.0,0.0,2.5,80.7,2.4,3.5,1.6,0.7,0.6,1.5,1,0.3549486843178552
52,24.6,45.1,1.1,43.4,2.1,83.6,0.5,1.4,3.7,0.6,0.0,1.8,0,0.3780486268095013
76,22.5,41.5,0.0,0.0,1.2,73.6,1.7,3.4,1.7,0.8,0.5,1.3,1,0.3911109372840279
78,22.0,44.7,0.7,39.0,1.6,74.1,0.9,2.0,2.2,1.2,0.3,1.2,0,0.459090700413318
51,20.7,49.7,0.0,0.0,2.0,66.7,2.3,3.1,0.8,0.5,0.5,1.5,1,0.40579690541212304
64,20.3,55.2,0.0,0.0,1.4,57.2,2.5,3.9,0.5,0.4,1.2,0.8,1,0.3054185687593257
55,20.3,52.9,0.0,0.0,1.8,51.5,2.1,4.1,0.7,0.4,1.5,1.4,1,0.5123150185640303
82,19.6,41.9,0.0,4.3,1.2,80.6,0.6,1.4,3.9,1.0,0.3,1.7,1,0.3775508277801899
48,18.9,52.8,0.0,0.0,2.0,66.9,2.4,3.3,0.7,0.8,1.1,1.8,1,0.4814812267295097
34,13.4,30.2,0.4,18.5,0.9,91.2,0.1,1.3,3.1,0.6,0.2,1.0,0,0.32089528291396796
42,18.6,40.0,0.7,35.7,1.5,83.3,0.7,1.2,1.1,0.8,0.1,1.1,1,0.4569890016188163
82,18.4,37.0,0.1,14.5,1.4,74.1,0.4,1.3,3.8,0.7,0.1,1.2,1,0.29891288102560815
64,17.0,39.0,0.0,23.1,1.1,74.5,0.6,1.4,3.2,1.1,0.1,1.5,1,0.41176446366796254
80,16.9,52.9,0.0,0.0,1.3,69.1,1.3,2.9,0.4,0.6,0.8,1.1,1,0.437869563390791
77,15.1,46.7,0.0,21.4,1.1,81.0,1.4,2.5,0.4,0.3,0.6,0.9,1,0.37086068154921753
55,14.9,41.7,0.1,37.5,0.6,76.1,0.5,1.0,1.5,0.7,0.2,0.8,0,0.2751676005586573
48,14.8,40.7,0.0,9.5,0.9,80.4,0.6,1.1,2.1,0.9,0.0,1.3,0,0.34459436176056635
51,14.5,39.9,0.2,27.0,1.8,87.5,0.4,1.2,2.8,0.9,0.0,1.4,0,0.3448273483949322
51,13.2,40.2,0.2,36.7,0.4,76.9,0.6,1.5,0.8,0.3,0.2,0.7,0,0.29545432162551394
72,12.4,42.3,0.0,0.0,1.4,80.3,0.4,0.9,1.9,0.6,0.1,1.3,1,0.37096744276819127
69,11.8,45.2,0.0,100.0,0.3,82.1,1.1,1.6,0.6,0.5,0.3,0.6,1,0.30508448721653625
54,11.3,56.8,0.0,0.0,1.3,66.1,1.4,2.0,0.3,0.6,0.7,0.8,1,0.5044243323678474
24,10.6,30.3,0.6,36.6,1.0,66.7,0.1,0.5,1.5,0.7,0.1,1.3,0,0.3867920879319925
50,9.6,41.5,0.1,19.2,0.9,75.4,0.4,0.7,1.8,0.6,0.1,1.0,1,0.4270828884553245
56,9.6,45.6,0.0,0.0,0.7,65.5,0.5,0.8,1.1,0.6,0.2,0.8,1,0.3541662977434399
